Term_English;Istilah_Indonesia;Definisi
Coral bleaching;Coral bleaching;Karang yang memucat dalam warna menjadi putih (pemutihan) karena karang kehilangan simbiosisnya, bisa disebabkan oleh ulah manusia.
Coral reefs;Coral reefs;Bentuknya batu kapur (kalsium karbonat) merupakan struktur yang dibangun oleh karang sepanjang pantai (terumbu karang tepi) atau di atas laut dangkal, dapat dalam bentuk seperti tebing terendam atau seperti rak (terumbu penghalang, atol), yang paling mencolok dapat ditemui di samudera tropis dan sub-tropis.
Cosmogenic isotopes;Cosmogenic isotopes;Isotop langka yang dibuat ketika sebuah sinar kosmik berenergi tinggi berinteraksi dengan inti dari sebuah atom. Mereka sering digunakan sebagai indikasi adanya aktivitas magnetik matahari (yang bisa melindungi sinar kosmik) atau sebagai penjejak transportasi atmosfer, dan juga disebut nuklida cosmogenic.
Cost;Cost;"Konsumsi sumber daya seperti waktu kerja, modal, bahan, bahan bakar dan lain sebagainya sebagai konsekuensi dari suatu tindakan. Dalam ilmu ekonomi semua sumber dinilai berdasarkan 36 harga perolehan kesempatan mereka, menjadi nilai penggunaan alternatif yang paling berharga dari sumber daya. Biaya didefinisikan dalam berbagai cara dan di bawah berbagai asumsi dan nilai yang mempengaruhi mereka. Jenis biaya meliputi: biaya administrasi perencanaan, manajemen, pemantauan, audit, akuntansi, pelaporan, kegiatan administrasi,dll yang berhubungan dengan suatu proyek atau program, kerusakan biaya untuk ekosistem, ekonomi dan orang-orang karena efek negatif dari iklim; biaya implementasi perubahan peraturan yang ada dan regulasi, upaya peningkatan kapasitas, informasi, pelatihan dan pendidikan, dll untuk menempatkan kebijakan ke tempatnya, biaya swasta dilakukan oleh individu, perusahaan atau badan swasta lain yang melakukan tindakan, di mana biaya sosial termasuk tambahan biaya eksternal padal ingkungan dan masyarakat secara keseluruhan. Biaya dapat dinyatakan sebagai jumlah, rata-rata (unit, spesifik) menjadi berjumlah dibagi dengan jumlah unit item biaya yang sedang dinilai, dan marjinal atau tambahan biaya karena biaya unit tambahan terakhir. Perspektif yang diterapkan dalam laporan ini adalah: tingkat Proyek menganggap kegiatan berdiri sendiri atau ""Standalone"" yang diasumsikan tidak memiliki dampak langsung yang signifikan. Dampak ekonomi pada pasar dan harga (penawaran dan permintaan) di luar kegiatan itu sendiri. Kegiatan ini dapat menjadi pelaksanaan fasilitas spesifik teknis, infrastruktur, sisi permintaan peraturan, Informasi usaha, standar teknis, dll. Pada tingkat teknologi menganggap sebuah teknologi mitigasi gas rumah kaca tertentu, biasanya dengan beberapa aplikasi dalam proyek yang berbeda dan sektor berbeda. Literatur tentang teknologi mencakup karakteristik teknis mereka, terutama bukti kurva belajar sebagai teknologi berdifusi dan jatuh tempo. Tingkat sektor menganggap kebijakan sektor dalam konteks ""sama dan seimbang sebagian"", yang lain sektor dan ekonomi makrovariabel diasumsikan sebagai yang diberikan. Kebijakan dapat mencakup instrumen ekonomi terkait dengan harga, pajak, perdagangan, dan pembiayaan, spesifik proyek investasi skala besar, dan upaya sisi permintaan peraturan. Tingkat makroekonomi mempertimbangkan dampak kebijakan pendapatan riil dan output, pekerjaan dan kesejahteraan ekonomi di seluruh semua sektor dan pasar. Kebijakan mencakup segala 37 macam ekonomi kebijakan, seperti pajak, subsidi, kebijakan moneter, khusus program investasi, dan teknologi dan kebijakan inovasi. Dampak negatif dari biaya atau manfaat juga dipakai, dan sering keduanya diperhitungkan secara bersama-sama."
Cost-benefit analysis;Cost-benefit analysis;Pengukuran moneter dari semua dampak negatif dan positif terkait dengan suatu tindakan tertentu. Biaya dan manfaat dibandingkan dalam hal perbedaan mereka dan / atau rasio sebagai indikator bagaimana investasi diberikan atau upaya kebijakan lain terbayar dilihat dari sudut pandang masyarakat .
Cost-effectiveness analysis;Cost-effectiveness analysis;Sebuah kasus khusus dari analisis biaya-manfaat di mana semua biaya dari portofolio proyek yang dinilai dalam kaitannya dengan tujuan kebijakan tetap. Tujuan kebijakan dalam hal ini mewakili manfaat dari proyek dan semua dampak lain diukur sebagai biaya atau sebagai biaya negatif (manfaat tambahan). Tujuan kebijakan dapat berupa, misalnya, tujuan yang ditentukan untuk pengurangan emisi gas rumah kaca.
Crediting period;Crediting period;Periode kredit CDM adalah waktu di mana proyek kegiatan ini dapat menghasilkan pengurangan gas rumah kaca dan emisi CO2 atau penghapusan sertifikat. Dalam kondisi tertentu, periode kredit dapat diperpanjang hingga dua kali.
Credits;Credits;Ini ditentukan untuk pengurangan emisi. Dimana terdapat (empat) Kyoto credit yaitu unit jumlah yang ditetapkan, Pengurangan emisis yang telah tersertifikasi, unit pengurangan emisi dan unit removal. Credit yang pertama dialokasikan ke negara-negara yang memiliki target Protokol Kyoto, dan tiga credit yang terakhir dihasilkan melalui berbagai jenis proyek.
Cryosphere;Cryosphere;Komponen dari sistem iklim yang terdiri dari semua salju, es dan tanah beku (termasuk lapisan es) pada dan di bawah permukaan bumi dan laut. 38
Cryptogams;Cryptogams;Sebuah istilah ketinggalan jaman tapi masih digunakan, menandakan suatu kelompok yang beragam dan taksonomi terkait organisme, termasuk jamur dan tanaman yang lebih rendah seperti ganggang, lumut, hornworts, liverworts, lumut dan pakis. 39
Dansgaard-Oeschger events;Dansgaard-Oeschger events;Peristiwa pemanasan mendadak diikuti dengan pendinginan yang bertahap. Pemanasan tiba-tiba dan pendinginan bertahap ini terjadi terutama dalam catatan iklim lampau paleo (palaeoclimate) di inti es Greenland dekat dengan Atlantik Utara, sementara pemanasan yang lebih umum diikuti dengan pendinginan bertahap telah diamati di daerah lain sebagai pengamatan yang baik, dilakukan pada interval 1,5-Kyr selama masa glasial.
Deforestation;Deforestation;Konversi hutan menjadi non-hutan. Untuk diskusi panjang tentang hutan dan hal terkait seperti aforestasi, reboisasi, dan deforestasi lihat Laporan IPCC Khusus Penggunaan Lahan, Perubahan Pemanfaatan Lahan dan Kehutanan (IPCC, 2000). Deforestation didefinisikan oleh Marrakech Accords, merupakan pengaruh langsung dari manusia yang mengkonversi lahan hutan menjadi bukan hutan. Hutan didefinisikan sebagai lahan dengan luas minimum 0.05-1 hektar dengan tutupan kanopi.yang lebih dari 10-30 persennya terdiri dari pepohonan dengan tinggi minimum 2-5 meter ketika dewasa. Pada kenyataannya definisi ini dapat berbeda-beda di setiap Negara namun Protocol Kyoto memberikan acuan tertantu untuk definisi ini dalam penggunaanya pada perhitungan emisi nasional. FAO memberikan definisi lain mengenai deforestation sebagai perubahan hutan menjadi tutup lahan yang lain yang mengakibatkan tutupan kanopi yang kurang dari batas minimum 10 persen.
Degradation;Degradation;Pengertian untuk istilah degradasi hutan didapatkan kesepakatan. Degradasi hutan merupakan pengurangan penutupan lahan pada penutupan kanopi di atas 10 persen. Namun pengertian ini masih umum sedangkan IPCC sendiri belum memberikan pengertian spesifik mengenai ini. 41
Demand-side management;DSM;Kebijakan dan program untuk mempengaruhi permintaan terhadap barang dan atau jasa. Di sektor energi, DSM bertujuan mengurangi permintaanuntuk listrik dan sumber energi. DSM membantu mengurangi gas emisi rumah kaca
Dematerialization;Dematerialization;Proses di mana kegiatan ekonomi dipisahkan dari energi materi keseluruhan, melalui proses seperti eko-efisien produksi atau ekologi industri, yang memungkinkan dampak lingkungan untuk diasumsikan per unit kegiatan ekonomi.
Dengue fever;Dengue fever;Sebuah penyakit virus menular yang disebarkan oleh nyamuk, yang sering disebut demam breakbone karena ditandai dengan nyeri parah disendi dan punggung. Infeksi berikutnya virus dapat menyebabkan demam berdarah dengue (DBD) dan sindrom syok dengue (DSS), yang mungkin berakibat fatal.
Deposit-refund system;Deposit-refund system;Deposit atau biaya (pajak) yang dibayar ketika memperoleh komoditas dan pengembalian atau rabat yang diterima untuk pelaksanaan tindakan tertentu (kebanyakan memberikan komoditas di tempat tertentu)
Desert;Desert;Suatu wilayah yang menerima curah hujan sangat rendah, di mana 'sangat rendah' dimana istilah tersebut diterima secara luas menjadi dibawah 100 mm per tahun.
Desertification;Desertification;Degradasi tanah ke klasifikasi kering, semi-kering, dan daerah kering sub-lembab akibat berbagai faktor, termasuk variasi iklim dan aktivitas manusia. Konvensi PBB untuk memerangi degradasi tanah atau degradasi lahan (UN Convention on Combating Desertification) sebagai pengurangan atau kerugian dalam klasifikasi kering, semi-kering, dan daerah kering sublembab dari biologis atau produktivitas ekonomi dan kompleksitas 42 lahan pertanian tadah hujan, lahan irigasi pertanian, atau daerah padang rumput, hutan, dan hutan yang dihasilkan dari penggunaan lahan atau dari sebuah proses atau kombinasi proses, termasuk proses yang timbul dari kegiatan manusia dan pola tempat tinggal, seperti (i) erosi tanah yang disebabkan oleh angin dan / atau air, (ii) kerusakan sifat-sifat fisik tanah, kimia dan biologi atau ekonomi, dan (iii) hilangnya vegetasi alam dalam jangka panjang.
Designated Focal Point;DFP;Merupakan kesetaraan dari CDM DNA tetapi untuk project-project JL dan dalam kenyataannya seringkali merupakan satu bagian.
Designated Operational Entity;Designated Operational Entity;Sebuah Badan Operasional Khusus adalah badan independen terakreditasi oleh Badan Eksekutif CDM (CDM EB) yang akan memvalidasi proposal dan merekomendasikan proyek untuk registrasi oleh EB CDM, atau memverifikasi data pemantauan dan merekomendasikan kepada EB CDM jumlah kredit karbon yang harus dikeluarkan.
Designated National Authority;Designated National Authority;DNA adalah badan resmi mewakili Pemerintah yang mengambil bagian dalam penyusunan CDM atau proyek JL. Untuk negara tuan rumah JL, DNA akan menyetujui proyek dan isu-isu unit pengurangan emisi dinegara tersebut.
Detection and attribution;Detection and attribution;Iklim bervariasi terus di sepanjang skala waktu. Deteksi perubahan iklim adalah proses yang menunjukkan bahwa iklim telah berubah dalam arti berdasarkan perhitungan statistik, tanpa memberikan alasan untuk proses terjadinya perubahan tersebut. Atribusi perubahan iklim adalah proses penyebab pembentukan perubahan yang paling mungkin untuk terdeteksi dengan beberapa tingkat definisi secara statistik.
Devegetation;Devegetation;Ini adalah hilangnya kepadatan atau tutupan vegetasi dalam suatu lahan atau hamparan. 43
Development path;Development path;Suatu evolusi pembangunan berdasarkan berbagai aspek seperti teknologi, ekonomi, sosial, kelembagaan, budaya dan karakteristik biofisik yang menentukan interaksi antara manusia dan sistem alam, termasuk produksi dan pola konsumsi di semua negara, dari waktu ke waktu pada khususnya skala panjang. Bagian dari suatu pembangunan alternatif akan terlihat berbeda, mungkin berbeda lintasan pembangunannya, dan tren kelanjutan saat ini yang hanya satu dari banyak jalan.
Diabatic;Diabatic;Proses dimana enegi panas diserap atau dilepaskan oleh suatu sistem dari external sistem tersebut.
Diadromous;Diadromous;Ikan yang hidup antara air asin dan air tawar.
Diatoms;Diatoms;Ganggang yang berukuran silt atau kecil yang hidup di perairan permukaan danau, sungai dan laut. Spesies mereka distribusi diumumnya hidup di dasar laut sering berhubungan dengan cerita kondsi suhu permukaan laut masa lampau.
Disaster;Disaster;Perubahan yang tinggi dari keadaan normal disuatu komunitas atau masyarakat karena peristiwa fisika yang berbahaya yang berinteraksi kondisi sosial yang rentan, yang mengarah pada kerugian materi, korban, ekonomi atau dampak lingkungan yang memerlukan tanggapan darurat segera untuk memenuhi kebutuhan kritis manusia dan mungkin memerlukan dukungan eksternal untuk pemulihan kembali.
Disaster management;Disaster management;Proses sosila dalam perencanaan, implementasi dan evaluasi strategi, kebijakan dan pengukuran yang untuk mendukung dan meningkatkan penanggulangan, respon dan pemulihan dari bencana untuk berbagai organisasi dan level sosial.
Disaster Risk;Disaster Risk;Kecenderungan yang terjadi selama periode waktu yang 44 ditentukan dari perubahan dalam fungsi normal dari suatu komunitas atau masyarakat karena peristiwa fisik berbahaya berinteraksi dengan kondisi sosial yang rentan, yang mengarah ke kerugian materi yang luas, manusia, dampak ekonomi, atau lingkungan yang memerlukan tanggap darurat segera untuk memenuhi kebutuhan kritis manusia dan yang mungkin memerlukan dukungan eksternal untuk pemulihan.
Disaster risk management;DRM;Proses untuk merancang, melaksanakan, dan mengevaluasi strategi, kebijakan, dan langkah-langkah untuk meningkatkan pemahaman risiko bencana, mendorong pengurangan risiko bencana dan transfer, dan mempromosikan perbaikan terusmenerus dalam kesiapsiagaan bencana, respon, dan praktik pemulihan, dengan tujuan eksplisit manusia meningkat keamanan, kesejahteraan, kualitas hidup, dan pembangunan berkelanjutan.
Disaster risk reduction;DRR;Merupakan tujuan dan sasaran kebijakan, dan langkah-langkah strategis dan instrumental digunakan untuk mengantisipasi risiko bencana masa depan, mengurangi eksposur yang ada, bahaya, atau kerentanan, dan meningkatkan ketahanan.
Discount rate;Discount rate;Tingkat dimana konsumsi sekarang lebih disukai untuk konsumsi satu tahun, dengan harga tetap konstan, tetapi rata-rata meningkatnya pendapatan sejalan dengan PDB per kapita.
Discounting;Discounting;Sebuah operasi matematika yang membuat moneter (atau lainnya) berisi jumlah yang diterima berbagai titik dalam waktu (tahun) dibandingkan dengan yang dikeluarkan sepanjang waktu. Operator menggunakan tetap atau mungkin berubah terhadap waktu tingkat diskonto (> 0) dari tahun ke tahun yang membuat nilai nilai masa depan berkurang dibanding hari ini. Dalam pendekatan diskon deskriptif seseorang menerima diskon tarif orang (penabung dan investor) benar-benar berlaku dalam mereka sehari-hari keputusan (tingkat diskonto swasta). Dalam 45 preskriptif (etika atau normatif) diskon pendekatan tingkat diskonto adalah tetap dari perspektif sosial, misalnya berdasarkan penilaian etika tentang kepentingan generasi masa depan (tingkat diskonto sosial).
District heating;District heating;Air panas (atau dalam sistem lama adalah uap) yang didistribusikan dari stasiun pusat untuk bangunan dan industri di daerah pendudukan yang padat (kabupaten, sebuah kota atau daerah industri seperti Ruhr atau Saar di Jerman). Fungsi jaringan terisolasi dua pipa seperti air berbasis pusat sistem pemanas di dalam gedung. Hasil pembuangan dari pusat sumber panas dapat dilakukan dengan pemulihan pada proses industri, untuk keperluan seperti kogenerasi pembangkit listrik atau berdiri sendiri pembakaran boiler dengan fosil bahan bakar atau biomassa.
Disturbance regime;Disturbance regime;Frekuensi, intensitas, dan jenis gangguan, seperti kebakaran, serangga atau hama wabah, banjir dan kekeringan.
Diurnal temperature range;Diurnal temperature range;Perbedaan antara suhu maksimum dan suhu minimum selama periode 24-jam atau harian.
Dobson unit;DU;Sebuah unit untuk mengukur jumlah total ozon divertikal kolom di atas permukaan bumi (ozon total kolom). Keadaan tersebut dinyatakan sebagai jumlah unit Dobson dan ketebalan tersebut dalam satuan 10-5 m artinya bahwa kolom ozon akan menduduki jika dipadatkan menjadi lapisan seragam kepadatan pada tekanan 1.013 hPa dan suhu 0 ° C. Satu DU setara dengan kolom ozon yang mengandung 2,69 × 1.020 molekul per meter persegi. Nilai khas untuk jumlah ozon dalam kolom dari atmosfer bumi, meski sangat variabel, adalah DU.
Double dividend;Double dividend;"Sejauh mana menghasilkan instrumen pendapatan, seperti pajak karbon atau izin emisi karbon dapat dilelang (tradable) dengan; (1) membatasi atau mengurangi emisi gas rumah kaca dan (2) 46 mengimbangi setidaknya sebagian dari potensi kesejahteraan kerugian dari kebijakan iklim melalui daur ulang pendapatan di ekonomi untuk mengurangi pajak lain mungkin menyebabkan distorsi. Dalam suatu negara dengan pengangguran yang disengaja, kebijakan perubahan iklim diadopsi mungkin berpengaruh (suatu 'dividen ketiga' positif atau negatif) terhadap lapangan kerja. Dividen ganda lemah terjadi selama ada efek pendapatan daur ulang. Artinya, pendapatan yang didaur ulang melalui pengurangan dalam tingkat marjinal pajak mendistorsi. Kuatnya dividen ganda mensyaratkan bahwa (bermanfaat) efek pendapatan daur ulang yang lebih dari kombinasi offset dari primer dan biaya dalam hal ini, biaya bersih dari pengurangan adalah negatif."
Downscaling;Downscaling;Downscaling adalah metode informasi yang berasal lokal untuk daerah skala (10 sampai 100 km) dari model atau data analisis skala besar. Dua metode utama yang dibedakan adalah: downscaling dinamis dan empiris / downscaling statistik. Pada metode dinamis menggunakan output dari model iklim regional, model global dengan resolusi spasial variabel atau resolusi tinggi model global. Pada model empiris / metode statistik adalah mengembangkan hubungan statistik bahwa link skala besar atmosfer dengan variabel lokal / variable iklim regional variabel. Dalam semua kasus, kualitas produk yang didownscalling tergantung pada kualitas dari model yang mengaturnya.
Drought;Kekeringan;"Secara umum, kekeringan adalah tidak adanya kandungan air di tanah dalam waktu lama atau ditandai berkurangnya presipitasi, dampaknya akan mengakibatkan kekurangan air untuk beberapa kegiatan seperti pertanian atau ketersediaan air tanah maupun cadangan air dalam waduk perlu mendapat perhatian serius. Kekeringan dapat didefinisikan dengan berbagai cara. Kekeringan pertanian didefisikan berkaitan dengan kelembaban di paling atas 1 meter atau lebih dari tanah (zona perakaran) yang akan mempengaruhi tanaman; kekeringan meteorologi adalah defisit curah hujan yang berkepanjangan; dan kekeringan hidrologi berhubungan dengan tingkat aliran air atau stream flow 47 di bawah normal, baik di danau danau maupun pada air tanah. Mega drought adalah periode kekeringan pada suatu musim yang berlangsung berturutan, yang berlangsung lebih lama dari biasanya,biasanya satu dekade atau lebih."
Dynamical system;Dynamical system;Sebuah proses atau serangkaian proses evolusi yang dalam berjalannya dengan proses waktu diatur oleh seperangkat hukum-hukum fisika deterministik. Sistem iklim termasuk adalah sistem dinamik.
Dyke;Dyke;Sebuah dinding buatan manusia atau tanggul di sepanjang pantai untuk mencegah banjir yang dating dari lahan dataran rendah.
Dynamic global vegetation model;DGVM;Model yang mensimulasikan perkembangan vegetasi dan dinamika melalui ruang dan waktu, karena didorong oleh perubahan iklim dan lingkungan lainnya. 48
Early warning system;Early warning system;Serangkaian kapasitas yang diperlukan untuk menghasilkan dan menyebarkan informasi peringatan tepat waktu dan sangat berarti untuk memungkinkan individu, masyarakat, dan organisasi terancam oleh bahaya untuk mempersiapkan dan bertindak secara tepat dan dalam waktu yang cukup untuk mengurangi kemungkinan kerusakan atau kerugian.
Ecological community;Ecological community;Suatu komunitas tanaman dan hewan ditandai dengan kumpulan khas spesies dan kelimpahan mereka.
Ecological corridor;Ecological corridor;Sebuah strip tipis vegetasi yang digunakan oleh satwa liar, berpotensi memungkinkan pergerakan faktor biotik antara dua daerah.
Economic potential;Economic potential;Potensi ekonomi adalah studi yang paling banyak digunakan sebagai jumlah GRK mitigasi yang hemat biaya untuk harga karbon yang diberikan, berdasarkan harga biaya sosial dan diskon tarif, termasuk penghematan energi, tapi tanpa eksternalitas paling. Secara teoritis, itu didefinisikan sebagai potensi efektif biaya mitigasi gas rumah kaca ketika non-pasar biaya sosial dan manfaat disertakan dengan pasar biaya dan manfaat dalam menilai pilihan untuk tertentu tingkat harga karbon (yang dipengaruhi oleh kebijakan mitigasi) dan ketika menggunakan tingkat diskonto sosial bukan yang pribadi. Ini meliputi eksternalitas, yaitu, non-pasar biaya dan manfaat tersebut sebagai lingkungan manfaat bersama.
Economies in Transition;EITs;Negara-negara dengan ekonomi mereka berubah dari sistem ekonomi terencana untuk ekonomi pasar. Ini mengacu pada negara-negara yang sedang dalam proses penataan ulang 49 perekonomian mereka menuju sistem yang lebih berorientasi pasar. Negara-negara ini termasuk negara-nagara pecahan Uni Soviet dan Eropa Timur.
Economies of scale;scale economies;Biaya unit kegiatan menurun ketika kegiatan ini diperpanjang (misalnya, lebih banyak unit diproduksi).
Ecophysiological process;Ecophysiological process;Organisme individu merespon variabilitas lingkungan, seperti ketika terjadi perubahan iklim, melalui proses yang ekofisiologis yang beroperasi terus menerus, umumnya pada mikroskopis atau skala sub-organs. Mekanisme ekofisiologis mendukung tolerasni individu organisme terhadap stres lingkungan, dan terdiri dari luas berbagai tanggapan mendefinisikan batas toleransi mutlak individu dengan kondisi lingkungan. Tanggapan ekofisiologis dapat meningkat untuk mengontrol rentang geografis spesies.
Ecosystem;Ecosystem;Sebuah sistem organisme yang hidup berinteraksi satu sama lain dan lingkungan fisik mereka. Batas-batas apa yang bisa disebut ekosistem yang agak sewenang-wenang, tergantung pada fokus yang menarik atau belajar. Dengan demikian, sejauh mana ekosistem dapat berkisar dari skala spasial yang sangat kecil untuk, akhirnya, seluruh bumi.
Ecosystem approach;Ecosystem approach;Pendekatan ekosistem merupakan strategi untuk pengelolaan terpadu pada sumber daya lahan, air dan hidup yang mempromosikan konservasi dan berkelanjutan digunakan dalam cara ekosistem. Pendekatan ini didasarkan pada penerapan ilmiah yang sesuai metodologi difokuskan pada tingkat organisasi biologis,yang meliputi struktur penting, proses, fungsi dan interaksi antara organisme dan lingkungannya. Hal itu mengakui bahwa manusia, dengan keragaman budaya mereka, merupakan terpisahkan komponen ekosistem banyak. Pendekatan ekosistem mengharuskan manajemen adaptif untuk menangani hal yang kompleks dan dinamis dari sifat ekosistem jika tidak adanya pengetahuan yang lengkap atau pemahaman tentang 50 fungsi mereka. Target prioritas adalah konservasi keanekaragaman hayati dan struktur ekosistem dan berfungsi untuk mempertahankan jasa ekosistem.
Ecosystem services;Ecosystem services;Proses ekologi atau fungsi moneter maupun non-moneter memiliki nilai kepada individu atau masyarakat luas. Ada yang (i) mendukung layanan pemeliharaan seperti produktivitas atau keanekaragaman hayati, (ii) pengadaan jasa seperti makanan, serat, atau ikan, jasa pengatur (iii) seperti pengaturan iklim atau karbon penyerapan, dan (iv) budaya layanan seperti pariwisata atau spiritual dan estetika penghargaan.
Ecotone;Ecotone;Wilayah transisi antara komunitas ekologi yang berdekatan (misalnya, antara hutan dan padang rumput).
Efficacy;Efficacy;Suatu ukuran seberapa efektif suatu radiasi yang diberikan mempengaruhi kepada mekanisme antropogenik alami dapat mengubah kesetimbangan temperatur permukaan global yang setara dibandingkan dengan radiasi yang mempengaruhi karbon dioksida. Laju karbon dioksida meningkat didefinisikan memiliki efficacy 1,0.
Ekman pumping;Ekman pumping;Kekuatan gesekan sirkulasi stres pada permukaan antara dua fluida (atmosfer dan laut) atau antara fluida dan zat yang berdekatan dengan permukaan (permukaan bumi). Ketika yang dihasilkan adalah transportasi massal konvergen, maka konservasi massa membutuhkan aliran vertikal yang jauh dari permukaan. Hal ini disebut pompa Ekman. Jika yang terjadi efek yang berlawanan, dalam hal terjadi perbedaan penafsiran, maka disebut efek hisap Ekman. Keadaan tersebut merupakan efek yang penting baik di atmosfer dan laut.
Ekman transport;Ekman transport;Transportasi total yang dihasilkan dari keseimbangan antara gaya Coriolis dan tegangan gesek akibat efek dari angin pada permukaan laut. 51
El Niño-Southern Oscillation;ENSO;Gejala interaksi laut-atmosfir yang terjadi karena dampak penyimpangan suhu muka laut di wilayah ekuatorial dan timur Pasifik yang diasumsikan dengan adanya nilai indeks perubahan tekanan udara antara bagian barat dan tengah Pasifik tropis. El Niño masa awalnya digunakan untuk menggambarkan arus hangat-air yang secara berkala mengalir bersama di pantai Ekuador dan Peru, mengganggu sirkulasi lokal. Lebih-lebih sejak diidentifikasi memiliki pengaruh pemanasan seperti membentuk semacam basin di Pasifik tropis dengan Samudera timur garis batas penanggalan. Berbagai peristiwa kelautan terkait dengan dampak fluktuasi aliran pola tekanan dari permukaan berskala global tropis dan subtropis disebut Osilasi Selatan. Hal ini ditambah lagi dengan adanya fenomena atmosfer-laut, dengan skala waktu yang sering terjadi sekitar dua hingga sekitar tujuh tahun, peristiwa tersebut secara umum dikenal sebagai El NinoSouthern Oscillation (ENSO). Hal ini sering diukur dengan perbedaan anomali tekanan permukaan antara Darwin dan Tahiti dan permukaan laut suhu di Pasifik tengah dan timur khatulistiwa. Selama peristiwa ENSO berlangsung, angin pasat akan melemah, mengurangi terjadinya upwelling dan akan mengubah arus laut sehingga suhu permukaan laut menjadi hangat, kondisi demikian yang melemahkan angin pasat. Kondisi ini lebih lanjut memiliki dampak besar pada suhu, angin permukaan laut dan pola curah hujan di Pasifik tropis. Ternyata keadan Ini memiliki efek iklim di seluruh wilayah Pasific dan berbagi wilayah lainnya di dunia, melalui penjalaran telekoneksi dunia. Fase dingin ENSO disebut La Niña. Fase El Nino menyebabkan tertariknya uap air di wilayah Indonesia menjauh menuju wilayah Pasifik Barat sehingga wilayah Indonesia dilanda kekeringan. Sedangkan pada fase La Nina terjadi peningkatan uap air di wilayah Indonesia. Dampak El Nino dan La Nina yang terasa di Indonesia terjadi pada musim kemarau.
Eligibility;Eligibility;Negara-negara, atau pihak yang ingin menggunakan mekanisme Kyoto harus memenuhi persyaratan tertentu. Ini ditentukan pada pertemuan Marrakesh pada November 2001 (CoP 7).
Emissions Direct / Indirect;Emissions Direct / Indirect;"Emisi langsung atau ""titik"" emisi yang didefinisikan pada titik 52 dalam rantai energi di mana mereka dilepaskan dan diberikan ke titik dalam rantai energi, apakah sektor, teknologi atau kegiatan. Misalnya emisi dari pembangkit listrik batu bara dianggap langsung emisi dari sektor pasokan energi. Emisi tidak langsung atau emisi ""dialokasikan untuk sektor pengguna akhir"" mengacu pada energi yang digunakan dalam penggunaan sektor akhir dan dihitung untuk emisi yang berhubungan dengan produksi energi hulu pengguna akhir. Misalnya beberapa emisi yang terkait dengan pembangkit listrik dapat dihubungkan pada sektor bangunan yang sesuai dengan penggunaan listrik sektor bangunan."
Emission factor;Emission factor;Faktor emisi adalah tingkat emisi per unit aktivitas, output atau masukan. Misalnya bahan bakar fosil pembangkit listrik tertentu memiliki faktor emisi CO2 yang dihasilkan 0,765 kg / kWh.
Emission permit;Emission permit;Izin emisi adalah hak yang tidak dapat dialihkan atau diperdagangkan dialokasikan oleh pemerintah untuk badan hukum (perusahaan atau emitor) untuk memancarkan jumlah tertentu suatu zat. Suat izin yang diperdagangkan adalah instrumen kebijakan ekonomi di mana hak untuk debit polusi dalam hal ini jumlah emisi gas rumah kacadapat dipertukarkan baik gratis atau dikendalikan melalui izin pasar.
Emission quota;Emission quota;Porsi jumlah emisi yang diijinkan kepada suatu negara atau sekelompok negara dalam kerangka dari total emisi maksimum.
Emissions Reduction Purchase Agreement;ERPA;Ini merupakan dokumen yang mengikat secara hukum yang ditandatangani oleh Penjual dan Pembeli kredit karbon, dengan harga yang diatur untuk volume dan periode waktu tertentu. ERPA ini didasarkan pada format standar seperti yang dirancang oleh IETA (the International Emissions Trading Association).
Emissions Reduction Unit;ERU;Merupakan unit dasar dari proyek kerjasama implementasi. Dimana (satu) unit ERU setara dengan pengurangan emisi sebesar satu ton metrik Co2.
Emission scenario;Emission scenario;Sebuah representasi yang masuk akal dari perkembangan masa depan emisi dari zat-zat yang berpotensi beradiasi secara aktif (misalnya, gas rumah kaca, aerosol), berdasarkan koheren dan konsisten secara internal dan seperangkat asumsi tentang pengaruh-pengaruh yang memicu (seperti pengembangan demografi dan sosial ekonomi, perubahan teknologi) dan hubungan utama antar mereka. Skenario konsentrasi, berasal dari skenario emisi, digunakan sebagai masukan untuk model iklim untuk menghitung proyeksi iklim. Dalam IPCC (1992) disajikan kumpulan scenario emisi yang digunakan sebagai dasar untuk proyeksi iklim di IPCC (1996). Emisi skenario disebut sebagai IS92 skenario. Dalam Laporan IPCC Khusus Skenario Emisi Skenario (Naki?enovi? dan Swart, 2000) baru scenario emisi, yang disebut SRES skenario, sudah diterbitkan, dan beberapa yang sudah digunakan antara lain sebagai dasar untuk proyeksi iklim disajikan pada Bab 9 sampai 11 dari IPCC (2001) dan Bab 10 dan11.
Emission standard;Emission standard;Tingkat emisi yang oleh hukum atau oleh kesepakatan sukarela mungkin tidak terlampaui. Banyak standar menggunakan faktor emisi dalam konsep mereka dan karena itu tidak memberi batasan mutlak pada emisi.
